1,Тип,Беспроводные наушники,2024-05-10 18:54:42.695+03,2024-05-10 18:54:42.695+03,29
189,Хранилище,До 1 ТБ SSD + 4 ТБ HDD,2024-05-11 16:02:23.258+03,2024-05-11 16:02:23.258+03,72
190,Охлаждение,Эффективная система охлаждения,2024-05-11 16:02:23.258+03,2024-05-11 16:02:23.258+03,72
191,Процессор,Intel Core i7,2024-05-11 16:02:30.341+03,2024-05-11 16:02:30.341+03,73
192,Хранилище,До 512 ГБ SSD + 2 ТБ HDD,2024-05-11 16:02:30.341+03,2024-05-11 16:02:30.341+03,73
193,Охлаждение,Эффективная система охлаждения,2024-05-11 16:02:30.341+03,2024-05-11 16:02:30.341+03,73
194,Память,До 32 ГБ RAM,2024-05-11 16:02:30.341+03,2024-05-11 16:02:30.341+03,73
195,Видеокарта,NVIDIA GeForce RTX 3070,2024-05-11 16:02:30.341+03,2024-05-11 16:02:30.341+03,73
196,Процессор,AMD Ryzen 9,2024-05-11 16:02:38.904+03,2024-05-11 16:02:38.904+03,74
197,Охлаждение,Эффективная система охлаждения,2024-05-11 16:02:38.904+03,2024-05-11 16:02:38.904+03,74
198,Видеокарта,NVIDIA GeForce GTX 1660 Ti,2024-05-11 16:02:38.904+03,2024-05-11 16:02:38.904+03,74
199,Хранилище,До 512 ГБ SSD + 2 ТБ HDD,2024-05-11 16:02:38.904+03,2024-05-11 16:02:38.904+03,74
200,Память,До 16 ГБ RAM,2024-05-11 16:02:38.904+03,2024-05-11 16:02:38.904+03,74
201,Процессор,Intel Xeon,2024-05-11 16:03:29.979+03,2024-05-11 16:03:29.979+03,75
202,Количество ядер,До 18,2024-05-11 16:03:29.979+03,2024-05-11 16:03:29.979+03,75
203,Видеокарта,Radeon Pro Vega,2024-05-11 16:03:29.979+03,2024-05-11 16:03:29.979+03,75
204,Память,До 256 ГБ RAM,2024-05-11 16:03:29.979+03,2024-05-11 16:03:29.979+03,75
205,Хранилище,До 4 ТБ SSD,2024-05-11 16:03:29.979+03,2024-05-11 16:03:29.979+03,75
206,Процессор,Intel Core i7,2024-05-11 16:03:38.169+03,2024-05-11 16:03:38.169+03,76
207,Экран,27-дюймовый 4K,2024-05-11 16:03:38.169+03,2024-05-11 16:03:38.169+03,76
208,Память,До 32 ГБ RAM,2024-05-11 16:03:38.169+03,2024-05-11 16:03:38.169+03,76
209,Хранилище,До 1 ТБ SSD,2024-05-11 16:03:38.169+03,2024-05-11 16:03:38.169+03,76
210,Графика,Intel Iris Plus,2024-05-11 16:03:38.169+03,2024-05-11 16:03:38.169+03,76
212,Графика,Intel UHD Graphics,2024-05-11 16:03:47.235+03,2024-05-11 16:03:47.235+03,77
213,Память,До 16 ГБ RAM,2024-05-11 16:03:47.235+03,2024-05-11 16:03:47.235+03,77
214,Хранилище,До 512 ГБ SSD,2024-05-11 16:03:47.235+03,2024-05-11 16:03:47.235+03,77
211,Процессор,Intel Core i5,2024-05-11 16:03:47.235+03,2024-05-11 16:03:47.235+03,77
215,Экран,23.8-дюймовый Full HD,2024-05-11 16:03:47.235+03,2024-05-11 16:03:47.235+03,77
216,Процессор,Intel Core i7,2024-05-11 16:03:54.863+03,2024-05-11 16:03:54.863+03,78
217,Память,До 32 ГБ RAM,2024-05-11 16:03:54.863+03,2024-05-11 16:03:54.863+03,78
218,Хранилище,До 1 ТБ SSD,2024-05-11 16:03:54.863+03,2024-05-11 16:03:54.863+03,78
219,Экран,27-дюймовый Full HD,2024-05-11 16:03:54.863+03,2024-05-11 16:03:54.863+03,78
220,Графика,Intel Iris Xe,2024-05-11 16:03:54.863+03,2024-05-11 16:03:54.863+03,78
221,Процессор,AMD Ryzen 7,2024-05-11 16:04:05.413+03,2024-05-11 16:04:05.413+03,79
222,Графика,AMD Radeon,2024-05-11 16:04:05.413+03,2024-05-11 16:04:05.413+03,79
223,Память,До 16 ГБ RAM,2024-05-11 16:04:05.413+03,2024-05-11 16:04:05.413+03,79
224,Хранилище,До 512 ГБ SSD,2024-05-11 16:04:05.413+03,2024-05-11 16:04:05.413+03,79
225,Экран,23.8-дюймовый Full HD,2024-05-11 16:04:05.413+03,2024-05-11 16:04:05.413+03,79
226,Тип подключения,Беспроводной,2024-05-11 16:06:13.8+03,2024-05-11 16:06:13.8+03,80
227,Технология,Bluetooth,2024-05-11 16:06:13.8+03,2024-05-11 16:06:13.8+03,80
228,Эргономика,Эргономичный дизайн,2024-05-11 16:06:13.8+03,2024-05-11 16:06:13.8+03,80
229,Точность,Высокая точность курсора,2024-05-11 16:06:13.8+03,2024-05-11 16:06:13.8+03,80
230,Совместимость,"С MacBook, iMac и Mac Pro",2024-05-11 16:06:13.8+03,2024-05-11 16:06:13.8+03,80
231,Технология,2.4 ГГц беспроводная технология,2024-05-11 16:06:21.243+03,2024-05-11 16:06:21.243+03,81
232,Тип подключения,Беспроводной,2024-05-11 16:06:21.243+03,2024-05-11 16:06:21.243+03,81
240,Дизайн,Компактный и эргономичный дизайн,2024-05-11 16:06:28.89+03,2024-05-11 16:06:28.89+03,82
234,Дизайн,Стильный и элегантный дизайн,2024-05-11 16:06:21.243+03,2024-05-11 16:06:21.243+03,81
239,Технология,2.4 ГГц беспроводная технология,2024-05-11 16:06:28.89+03,2024-05-11 16:06:28.89+03,82
291,Экран,2.2 дюйма,2024-05-11 16:19:46.294+03,2024-05-11 16:19:46.294+03,98
338,Память,"8 ГБ RAM, 512 ГБ SSD",2024-05-11 16:23:41.05+03,2024-05-11 16:23:41.05+03,107
341,Экран,"14 дюймов, IPS",2024-05-11 16:23:51.019+03,2024-05-11 16:23:51.019+03,108
350,ОС,Windows 10,2024-05-11 16:23:59.703+03,2024-05-11 16:23:59.703+03,109
235,Точность,Точное управление,2024-05-11 16:06:21.243+03,2024-05-11 16:06:21.243+03,81
236,Тип подключения,Беспроводной,2024-05-11 16:06:28.89+03,2024-05-11 16:06:28.89+03,82
294,Память,32 МБ + microSD до 16 ГБ,2024-05-11 16:19:46.294+03,2024-05-11 16:19:46.294+03,98
351,Тип,Беспроводная,2024-05-11 16:26:04.958+03,2024-05-11 16:26:04.958+03,110
352,Подключение,Bluetooth,2024-05-11 16:26:04.958+03,2024-05-11 16:26:04.958+03,110
353,Цвет,Серый космос,2024-05-11 16:26:04.958+03,2024-05-11 16:26:04.958+03,110
354,Батарея,"Встроенная, до 1 месяца работы",2024-05-11 16:26:04.958+03,2024-05-11 16:26:04.958+03,110
355,Совместимость,"MacBook, iMac",2024-05-11 16:26:04.958+03,2024-05-11 16:26:04.958+03,110
360,Материал,Пластик,2024-05-11 16:26:14.778+03,2024-05-11 16:26:14.778+03,111
237,Совместимость,С ПК и ноутбуками,2024-05-11 16:06:28.89+03,2024-05-11 16:06:28.89+03,82
295,Аккумулятор,1200 мАч,2024-05-11 16:19:46.294+03,2024-05-11 16:19:46.294+03,98
356,Тип,Проводная,2024-05-11 16:26:14.778+03,2024-05-11 16:26:14.778+03,111
241,Тип подключения,Беспроводной,2024-05-11 16:08:51.282+03,2024-05-11 16:08:51.282+03,87
242,Технология,2.4 ГГц беспроводная технология,2024-05-11 16:08:51.283+03,2024-05-11 16:08:51.283+03,87
243,Точность,Точное управление,2024-05-11 16:08:51.283+03,2024-05-11 16:08:51.283+03,87
244,Дизайн,Стильный и элегантный дизайн,2024-05-11 16:08:51.283+03,2024-05-11 16:08:51.283+03,87
245,Совместимость,С ПК и ноутбуками,2024-05-11 16:08:51.283+03,2024-05-11 16:08:51.283+03,87
296,Экран,2.4 дюйма,2024-05-11 16:19:59.585+03,2024-05-11 16:19:59.585+03,99
297,Камера,1.3 Мп,2024-05-11 16:19:59.585+03,2024-05-11 16:19:59.585+03,99
298,Память,64 МБ + microSD до 32 ГБ,2024-05-11 16:19:59.585+03,2024-05-11 16:19:59.585+03,99
299,Аккумулятор,1000 мАч,2024-05-11 16:19:59.585+03,2024-05-11 16:19:59.585+03,99
300,Особенности,"FM-радио, фонарик",2024-05-11 16:19:59.585+03,2024-05-11 16:19:59.585+03,99
357,Подключение,USB,2024-05-11 16:26:14.778+03,2024-05-11 16:26:14.778+03,111
246,Тип подключения,Беспроводной,2024-05-11 16:09:23.917+03,2024-05-11 16:09:23.917+03,89
247,Технология,2.4 ГГц беспроводная технология,2024-05-11 16:09:23.918+03,2024-05-11 16:09:23.918+03,89
248,Точность,Точное управление,2024-05-11 16:09:23.918+03,2024-05-11 16:09:23.918+03,89
249,Дизайн,Элегантный и компактный дизайн,2024-05-11 16:09:23.918+03,2024-05-11 16:09:23.918+03,89
250,Совместимость,С ПК и ноутбуками,2024-05-11 16:09:23.918+03,2024-05-11 16:09:23.918+03,89
301,Экран,"15.6 дюйма, сенсорный",2024-05-11 16:21:18.891+03,2024-05-11 16:21:18.891+03,100
302,Процессор,Intel Core i7,2024-05-11 16:21:18.891+03,2024-05-11 16:21:18.891+03,100
303,Память,"16 ГБ RAM, 512 ГБ SSD",2024-05-11 16:21:18.891+03,2024-05-11 16:21:18.891+03,100
304,Графика,NVIDIA GeForce RTX 3060,2024-05-11 16:21:18.891+03,2024-05-11 16:21:18.891+03,100
309,ОС,Windows 10,2024-05-11 16:21:27.945+03,2024-05-11 16:21:27.945+03,101
358,Цвет,Черный,2024-05-11 16:26:14.778+03,2024-05-11 16:26:14.778+03,111
251,Экран,Super Retina XDR,2024-05-11 16:16:41.078+03,2024-05-11 16:16:41.078+03,90
252,Процессор,Apple A17 Bionic,2024-05-11 16:16:41.079+03,2024-05-11 16:16:41.079+03,90
253,Камера,12 Мп + 12 Мп + 12 Мп,2024-05-11 16:16:41.079+03,2024-05-11 16:16:41.079+03,90
254,Батарея,5000 мАч,2024-05-11 16:16:41.079+03,2024-05-11 16:16:41.079+03,90
255,ОС,iOS 19,2024-05-11 16:16:41.079+03,2024-05-11 16:16:41.079+03,90
257,Камера,108 Мп + 12 Мп + 12 Мп + ToF,2024-05-11 16:16:50.011+03,2024-05-11 16:16:50.011+03,91
305,ОС,Windows 11,2024-05-11 16:21:18.891+03,2024-05-11 16:21:18.891+03,100
307,Процессор,Intel Core i5,2024-05-11 16:21:27.945+03,2024-05-11 16:21:27.945+03,101
359,Совместимость,Samsung устройства,2024-05-11 16:26:14.778+03,2024-05-11 16:26:14.778+03,111
256,Экран,"6.8 дюймов, Dynamic AMOLED",2024-05-11 16:16:50.01+03,2024-05-11 16:16:50.01+03,91
306,Экран,"14 дюймов, сенсорный",2024-05-11 16:21:27.945+03,2024-05-11 16:21:27.945+03,101
361,Тип,Беспроводная,2024-05-11 16:26:25.214+03,2024-05-11 16:26:25.214+03,112
362,Подключение,Bluetooth,2024-05-11 16:26:25.214+03,2024-05-11 16:26:25.214+03,112
363,Цвет,Белый,2024-05-11 16:26:25.214+03,2024-05-11 16:26:25.214+03,112
364,Батарея,"Встроенная, до 6 месяцев работы",2024-05-11 16:26:25.214+03,2024-05-11 16:26:25.214+03,112
365,Совместимость,Xiaomi устройства,2024-05-11 16:26:25.214+03,2024-05-11 16:26:25.214+03,112
370,Совместимость,Sony устройства,2024-05-11 16:26:34.425+03,2024-05-11 16:26:34.425+03,113
258,Батарея,5500 мАч,2024-05-11 16:16:50.011+03,2024-05-11 16:16:50.011+03,91
308,Графика,Intel UHD Graphics,2024-05-11 16:21:27.945+03,2024-05-11 16:21:27.945+03,101
366,Тип,Проводная,2024-05-11 16:26:34.425+03,2024-05-11 16:26:34.425+03,113
259,ОС,Android 15,2024-05-11 16:16:50.011+03,2024-05-11 16:16:50.011+03,91
310,Память,"8 ГБ RAM, 256 ГБ SSD",2024-05-11 16:21:27.945+03,2024-05-11 16:21:27.945+03,101
367,Подключение,USB,2024-05-11 16:26:34.425+03,2024-05-11 16:26:34.425+03,113
260,Процессор,Snapdragon 9,2024-05-11 16:16:50.01+03,2024-05-11 16:16:50.01+03,91
311,Экран,"16 дюймов, сенсорный",2024-05-11 16:21:45.683+03,2024-05-11 16:21:45.683+03,102
312,Процессор,Apple M1 Pro,2024-05-11 16:21:45.684+03,2024-05-11 16:21:45.684+03,102
313,Память,"16 ГБ RAM, 1 ТБ SSD",2024-05-11 16:21:45.684+03,2024-05-11 16:21:45.684+03,102
314,Графика,Apple M1 Pro Graphics,2024-05-11 16:21:45.684+03,2024-05-11 16:21:45.684+03,102
315,ОС,macOS Monterey,2024-05-11 16:21:45.684+03,2024-05-11 16:21:45.684+03,102
368,Цвет,Серебристый,2024-05-11 16:26:34.425+03,2024-05-11 16:26:34.425+03,113
261,Экран,"6.6 дюймов, AMOLED",2024-05-11 16:17:00.791+03,2024-05-11 16:17:00.791+03,92
262,Процессор,Snapdragon 8,2024-05-11 16:17:00.791+03,2024-05-11 16:17:00.791+03,92
263,Камера,108 Мп + 12 Мп + 8 Мп,2024-05-11 16:17:00.791+03,2024-05-11 16:17:00.791+03,92
264,Батарея,4800 мАч,2024-05-11 16:17:00.791+03,2024-05-11 16:17:00.791+03,92
265,ОС,MIUI 14,2024-05-11 16:17:00.791+03,2024-05-11 16:17:00.791+03,92
316,Экран,"13.3 дюйма, сенсорный",2024-05-11 16:22:27.174+03,2024-05-11 16:22:27.174+03,103
317,Процессор,Intel Core i7,2024-05-11 16:22:27.174+03,2024-05-11 16:22:27.174+03,103
318,Память,"12 ГБ RAM, 512 ГБ SSD",2024-05-11 16:22:27.174+03,2024-05-11 16:22:27.174+03,103
319,Графика,NVIDIA GeForce GTX 1650,2024-05-11 16:22:27.174+03,2024-05-11 16:22:27.174+03,103
324,ОС,Windows 10,2024-05-11 16:22:37.082+03,2024-05-11 16:22:37.082+03,104
369,Материал,Алюминий,2024-05-11 16:26:34.425+03,2024-05-11 16:26:34.425+03,113
266,Экран,"6.5 дюймов, OLED",2024-05-11 16:17:14.953+03,2024-05-11 16:17:14.953+03,93
267,Процессор,Snapdragon 8,2024-05-11 16:17:14.954+03,2024-05-11 16:17:14.954+03,93
268,Камера,64 Мп,2024-05-11 16:17:14.954+03,2024-05-11 16:17:14.954+03,93
269,Батарея,4500 мАч,2024-05-11 16:17:14.954+03,2024-05-11 16:17:14.954+03,93
320,ОС,Windows 11,2024-05-11 16:22:27.174+03,2024-05-11 16:22:27.174+03,103
322,Процессор,Intel Core i5,2024-05-11 16:22:37.082+03,2024-05-11 16:22:37.082+03,104
371,Тип,Беспроводная,2024-05-11 16:28:10.258+03,2024-05-11 16:28:10.258+03,115
372,Совместимость,Honor устройства,2024-05-11 16:28:10.258+03,2024-05-11 16:28:10.258+03,115
373,Раскладка,QWERTY,2024-05-11 16:28:10.258+03,2024-05-11 16:28:10.258+03,115
374,Цвет,Серый,2024-05-11 16:28:10.258+03,2024-05-11 16:28:10.258+03,115
375,Подсветка,Есть,2024-05-11 16:28:10.258+03,2024-05-11 16:28:10.258+03,115
270,ОС,Android 14,2024-05-11 16:17:14.954+03,2024-05-11 16:17:14.954+03,93
321,Экран,"15.6 дюйма, сенсорный",2024-05-11 16:22:37.082+03,2024-05-11 16:22:37.082+03,104
271,Экран,"6.7 дюймов, OLED",2024-05-11 16:17:46.946+03,2024-05-11 16:17:46.946+03,94
272,Процессор,Kirin 10,2024-05-11 16:17:46.946+03,2024-05-11 16:17:46.946+03,94
273,Камера,108 Мп + 12 Мп + 12 Мп + ToF,2024-05-11 16:17:46.946+03,2024-05-11 16:17:46.946+03,94
274,Батарея,4800 мАч,2024-05-11 16:17:46.946+03,2024-05-11 16:17:46.946+03,94
323,Память,"8 ГБ RAM, 256 ГБ SSD",2024-05-11 16:22:37.082+03,2024-05-11 16:22:37.082+03,104
275,ОС,Magic UI 6,2024-05-11 16:17:46.946+03,2024-05-11 16:17:46.946+03,94
325,Графика,Intel Iris Xe Graphics,2024-05-11 16:22:37.082+03,2024-05-11 16:22:37.082+03,104
276,Экран,2.4 дюйма,2024-05-11 16:19:06.322+03,2024-05-11 16:19:06.322+03,95
277,Камера,3 Мп,2024-05-11 16:19:06.322+03,2024-05-11 16:19:06.322+03,95
278,Память,32 МБ + microSD до 16 ГБ,2024-05-11 16:19:06.322+03,2024-05-11 16:19:06.322+03,95
279,Аккумулятор,1200 мАч,2024-05-11 16:19:06.322+03,2024-05-11 16:19:06.322+03,95
326,Экран,"16 дюймов, Retina",2024-05-11 16:23:21.066+03,2024-05-11 16:23:21.066+03,105
327,Процессор,Apple M2 Pro,2024-05-11 16:23:21.066+03,2024-05-11 16:23:21.066+03,105
328,Память,"16 ГБ RAM, 1 ТБ SSD",2024-05-11 16:23:21.066+03,2024-05-11 16:23:21.066+03,105
329,Графика,AMD Radeon Pro 6900M,2024-05-11 16:23:21.066+03,2024-05-11 16:23:21.066+03,105
330,ОС,macOS Monterey,2024-05-11 16:23:21.066+03,2024-05-11 16:23:21.066+03,105
280,Особенности,"FM-радио, фонарик",2024-05-11 16:19:06.322+03,2024-05-11 16:19:06.322+03,95
331,Экран,"15.6 дюймов, AMOLED",2024-05-11 16:23:32.16+03,2024-05-11 16:23:32.16+03,106
332,Процессор,Intel Core i7,2024-05-11 16:23:32.16+03,2024-05-11 16:23:32.16+03,106
334,Память,"16 ГБ RAM, 512 ГБ SSD",2024-05-11 16:23:32.16+03,2024-05-11 16:23:32.16+03,106
335,ОС,Windows 11,2024-05-11 16:23:32.16+03,2024-05-11 16:23:32.16+03,106
337,Графика,NVIDIA GeForce MX450,2024-05-11 16:23:41.05+03,2024-05-11 16:23:41.05+03,107
344,Графика,NVIDIA GeForce RTX 3080,2024-05-11 16:23:51.019+03,2024-05-11 16:23:51.019+03,108
347,Графика,AMD Radeon RX Vega 10,2024-05-11 16:23:59.703+03,2024-05-11 16:23:59.703+03,109
281,Экран,2.2 дюйма,2024-05-11 16:19:20.409+03,2024-05-11 16:19:20.409+03,96
282,Камера,2 Мп,2024-05-11 16:19:20.409+03,2024-05-11 16:19:20.409+03,96
283,Память,16 МБ + microSD до 8 ГБ,2024-05-11 16:19:20.409+03,2024-05-11 16:19:20.409+03,96
284,Аккумулятор,1000 мАч,2024-05-11 16:19:20.409+03,2024-05-11 16:19:20.409+03,96
285,Особенности,"FM-радио, фонарик",2024-05-11 16:19:20.409+03,2024-05-11 16:19:20.409+03,96
333,Графика,NVIDIA GeForce GTX 3050 Ti,2024-05-11 16:23:32.16+03,2024-05-11 16:23:32.16+03,106
340,ОС,Windows 10,2024-05-11 16:23:41.05+03,2024-05-11 16:23:41.05+03,107
342,Память,"32 ГБ RAM, 2 ТБ SSD",2024-05-11 16:23:51.019+03,2024-05-11 16:23:51.019+03,108
349,Процессор,AMD Ryzen 7,2024-05-11 16:23:59.702+03,2024-05-11 16:23:59.702+03,109
286,Экран,2.0 дюйма,2024-05-11 16:19:35.678+03,2024-05-11 16:19:35.678+03,97
287,Камера,1.3 Мп,2024-05-11 16:19:35.678+03,2024-05-11 16:19:35.678+03,97
288,Память,64 МБ + microSD до 32 ГБ,2024-05-11 16:19:35.678+03,2024-05-11 16:19:35.678+03,97
289,Аккумулятор,800 мАч,2024-05-11 16:19:35.679+03,2024-05-11 16:19:35.679+03,97
293,Особенности,"FM-радио, фонарик",2024-05-11 16:19:46.294+03,2024-05-11 16:19:46.294+03,98
336,Экран,"15.6 дюймов, IPS",2024-05-11 16:23:41.05+03,2024-05-11 16:23:41.05+03,107
343,ОС,Windows 11,2024-05-11 16:23:51.019+03,2024-05-11 16:23:51.019+03,108
348,Память,"16 ГБ RAM, 512 ГБ SSD",2024-05-11 16:23:59.702+03,2024-05-11 16:23:59.702+03,109
290,Особенности,"FM-радио, фонарик",2024-05-11 16:19:35.679+03,2024-05-11 16:19:35.679+03,97
292,Камера,2 Мп,2024-05-11 16:19:46.294+03,2024-05-11 16:19:46.294+03,98
339,Процессор,Intel Core i5,2024-05-11 16:23:41.05+03,2024-05-11 16:23:41.05+03,107
345,Процессор,Intel Core i9,2024-05-11 16:23:51.019+03,2024-05-11 16:23:51.019+03,108
346,Экран,"16.1 дюйма, IPS",2024-05-11 16:23:59.702+03,2024-05-11 16:23:59.702+03,109
233,Совместимость,С ПК и ноутбуками,2024-05-11 16:06:21.243+03,2024-05-11 16:06:21.243+03,81
238,Точность,Точное управление,2024-05-11 16:06:28.89+03,2024-05-11 16:06:28.89+03,82
